_Ad_Date,_Ad_Title,_Ad_Type,_Age_Specified,_CATEGORY_--_Age_Specified,County,_Gender_Specified,_Number_of_People,_Press_Date,_Sale_Disposition,_Sale_Location_Locale,_Sale_Location_State,_Skills_Specified,_First_Name,_Term_of_service,_Trade_reason,_Features,_Terms_of_Sale,Source,Source_Page,Subscriber_County,Subscriber_Firstname,Subscriber_Lastname,_Role,_owner,_Application_Locale,FULL_TEXT
"March 3, 1824",Sheriff's Sale,Sale,25,adult,Dorchester,male,1,18240304,public sale,"William C. Ridgeway's tavern, Cambridge",Maryland,,Samuel,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Henry H. Edmondson,Cambridge,"Sheriff's Sale. BY virtue of two fieri facias to me directed, against Henry H. Edmondson, one at the suit of Bell & James, one other at the suit of John Dillahay, use of Bell & James, will be sold at William C. Ridgeway's tavern, in Cambridge, on MONDAY, the 26th instant, between the hours of 10 and 3o'clock, the following property, to wit: one NEGRO MAN named SAMUEL, said to be twenty-five or twenty-six years of age, taken and seized, and will be sold to satisfy the debts, interest and costs of the above fieri facias. SOLOMON KIRWAN, Sheriff april 3 3t"
"March 27, 1824",Public Sale,Sale,13,child,Dorchester,male,1,18240327,public sale,,Maryland,housework,,,,,,Cambridge Chronicle,3,DO,Gardner,Bayley,Subscriber,,,"PUBLIC SALE. The subscriber will dispose of the principal part of his Household & Kitchen FURNITURE, CONSISTING OF Tables, Beds, Carpets, Chairs, Looking Glasses, Waiters, China, Glass and Iron Ware, & c. The above, with a MILCH COW, and about six hundred weight of BACON, if not previously disposed of, will be offered at Public Sale, on WEDNESDAY, the 14th April. A credit of six months, with approved security, will be given on all sums above five dollars; for all sums less than five dollars, cash will be required. TO RENT. He also wishes to rent all that part of the HOUSE he now occupies (except one room, which is appropriated to his school together with the Kitchen, out houses, and Garden attached thereto. FOR HIRE, A negro BOY, thirteen years old, who has been accustomed to house work. GARDNER BAYLEY. march 27 3t"
"May 22, 1824",For Sale,Sale,20,adult,Dorchester,female,1,18240522,private sale,,Maryland,"cook, servant",,,,,,Cambridge Chronicle,3,,,,,,Cambridge Chronicle Office,"FOR SALE, A NEGRO GIRL, about twenty years of age--she is a good cook and house servant. Apply at the Cambridge Chronicle office. May 22 3t"
"May 22, 1824",Sheriff's Sale,Sale,22,adult,Dorchester,male,1,18240522,public sale,James Woolford Stewart's tavern in Cambridge,Maryland,,Levin,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Deveraux Travers,,"SHERIFF'S SALE. WILL be offered at public sale, on Monday the 14th instant, at James Woolford Stewart's tavern in Cambridge--the following property of Deveraux Travers, to wit--One negro man named LEVIN, aged about 22 or 23 ears; also, one sorrel HORSE, taken and will be sold for fees due for the years 1822 and 1823. Sale to commence between the hours of 10 and 4 o'clock, P.M. and attendance given by SOLOMON KIRWAN, Sheriff may 22 3t"
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,male,9,18240925,public sale,"residence of Benjamin Todd, Straight's Hundred",Maryland,,Emmory,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Benjamin Todd,,"Sheriff's Sales. WILL be sold at public sale on THURSDAY the 21st of October next, at Benjamin Todd's, the property of said Todd, all the Land he owns in Straight's Hundred--Each tract to be sold separately--one negro lad, named Emmory; one do. Named James; one negro boy, Spence; 20 cattle, 11 sheep, 18 hogs and one horse. Taken by virtue of 3 fieri facias, at the suit of Richard Pattison, executor of Sara Moore. Sale between 10 and 4 o'clock, for cas. ALSO, ON MONDAY the 18th day of October next, all the right, title and interest of Zebulon Mitchell, in and to a tract of Land, called Soward's Discovery, supposed to contain 72 acres, more or less, three beds, and furniture, 2 tables, 1 cupboard, 1 desk, 6 chairs, 1 iron pot and oven, 1 yoke of oxen, 1 negro girl, Affey, and a schooner, called the HORNET. Taken by virtue of a fieri facias at the suit of John Hubbard, at Mr. Flint's between 9 and 4 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, all the Lands that Thomas Adams has any right, title or interest in in Dorchester county--Also 2 yoke of oxen, 2 cows and calves, 1 horse, 2 beds and furniture. Taken by virtue of a fieri facias, at the suit of Josiah Hubbell and Jacob Pattison, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Thomas Whitley, all that part of a tract of Land, whereon he now lives, lying to the Northward and Westward of a cross-fence across his land, lying about S. E. and S. W. will be sold by virtue of a venditiouni exponas, at the suit of Hugh Valiant, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the Lands of Henry H. Edmondson, to wit: a part of a tract of Land, Pilgrimage, supposed to contain 45 acres, more or less; Spriggs Discovery, supposed to be 48 acres, Haywards Lot & John's Choice, 30 acres more or less--Taken by sundry fieri facias, to wit-Wm. Colston and of James Thompson., Henry Keene and of James Thompson, Thomas Buys and Suan Geoghegan, executrix of Wm. Geoghegan and of James Thompson, John Craig and of James Thompson, Elizabeth Edmondson and of James Thompson, Stephen Hurst, executor of Samuel Hurst, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Caleb Lecompte, to wit: a tract or part of a tract of Land, called Willonghby's Purchase, supposed to be 180 acres, more or less--Discovery, supposed to contain 113 acres, more or less; a negro man, Tom; and negroes Charles and Joshua. Taken by virtue of a fieri facias, at the suit of the state of Maryland, and of Henry Keene, administrator of John Bird, at Mr. Flint's, between 9 and 5 o'clock, for cash. ALSO, ON WEDNESDAY the 20th of October next, at Thomas Barnet's, one negro woman, Rose, and boy Daniel, the property of Samuel Helsby. Taken by virute of a fieri facias, at the suit of Geo. W. Scott, administrator with the will annexed of Sarah Helsby: sale betwen 10 and 5 o'clock, for cash. SOLOMON KIRWAN, Sheriff sept 25, 1924"
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,male,9,18240925,public sale,"residence of Benjamin Todd, Straight's Hundred",Maryland,,James,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Benjamin Todd,,"Sheriff's Sales. WILL be sold at public sale on THURSDAY the 21st of October next, at Benjamin Todd's, the property of said Todd, all the Land he owns in Straight's Hundred--Each tract to be sold separately--one negro lad, named Emmory; one do. Named James; one negro boy, Spence; 20 cattle, 11 sheep, 18 hogs and one horse. Taken by virtue of 3 fieri facias, at the suit of Richard Pattison, executor of Sara Moore. Sale between 10 and 4 o'clock, for cas. ALSO, ON MONDAY the 18th day of October next, all the right, title and interest of Zebulon Mitchell, in and to a tract of Land, called Soward's Discovery, supposed to contain 72 acres, more or less, three beds, and furniture, 2 tables, 1 cupboard, 1 desk, 6 chairs, 1 iron pot and oven, 1 yoke of oxen, 1 negro girl, Affey, and a schooner, called the HORNET. Taken by virtue of a fieri facias at the suit of John Hubbard, at Mr. Flint's between 9 and 4 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, all the Lands that Thomas Adams has any right, title or interest in in Dorchester county--Also 2 yoke of oxen, 2 cows and calves, 1 horse, 2 beds and furniture. Taken by virtue of a fieri facias, at the suit of Josiah Hubbell and Jacob Pattison, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Thomas Whitley, all that part of a tract of Land, whereon he now lives, lying to the Northward and Westward of a cross-fence across his land, lying about S. E. and S. W. will be sold by virtue of a venditiouni exponas, at the suit of Hugh Valiant, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the Lands of Henry H. Edmondson, to wit: a part of a tract of Land, Pilgrimage, supposed to contain 45 acres, more or less; Spriggs Discovery, supposed to be 48 acres, Haywards Lot & John's Choice, 30 acres more or less--Taken by sundry fieri facias, to wit-Wm. Colston and of James Thompson., Henry Keene and of James Thompson, Thomas Buys and Suan Geoghegan, executrix of Wm. Geoghegan and of James Thompson, John Craig and of James Thompson, Elizabeth Edmondson and of James Thompson, Stephen Hurst, executor of Samuel Hurst, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Caleb Lecompte, to wit: a tract or part of a tract of Land, called Willonghby's Purchase, supposed to be 180 acres, more or less--Discovery, supposed to contain 113 acres, more or less; a negro man, Tom; and negroes Charles and Joshua. Taken by virtue of a fieri facias, at the suit of the state of Maryland, and of Henry Keene, administrator of John Bird, at Mr. Flint's, between 9 and 5 o'clock, for cash. ALSO, ON WEDNESDAY the 20th of October next, at Thomas Barnet's, one negro woman, Rose, and boy Daniel, the property of Samuel Helsby. Taken by virute of a fieri facias, at the suit of Geo. W. Scott, administrator with the will annexed of Sarah Helsby: sale betwen 10 and 5 o'clock, for cash. SOLOMON KIRWAN, Sheriff sept 25, 1924"
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,male,9,18240925,public sale,Straight's Hundred,Maryland,,Spencer,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Benjamin Todd,,"Sheriff's Sales. WILL be sold at public sale on THURSDAY the 21st of October next, at Benjamin Todd's, the property of said Todd, all the Land he owns in Straight's Hundred--Each tract to be sold separately--one negro lad, named Emmory; one do. Named James; one negro boy, Spence; 20 cattle, 11 sheep, 18 hogs and one horse. Taken by virtue of 3 fieri facias, at the suit of Richard Pattison, executor of Sara Moore. Sale between 10 and 4 o'clock, for cas. ALSO, ON MONDAY the 18th day of October next, all the right, title and interest of Zebulon Mitchell, in and to a tract of Land, called Soward's Discovery, supposed to contain 72 acres, more or less, three beds, and furniture, 2 tables, 1 cupboard, 1 desk, 6 chairs, 1 iron pot and oven, 1 yoke of oxen, 1 negro girl, Affey, and a schooner, called the HORNET. Taken by virtue of a fieri facias at the suit of John Hubbard, at Mr. Flint's between 9 and 4 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, all the Lands that Thomas Adams has any right, title or interest in in Dorchester county--Also 2 yoke of oxen, 2 cows and calves, 1 horse, 2 beds and furniture. Taken by virtue of a fieri facias, at the suit of Josiah Hubbell and Jacob Pattison, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Thomas Whitley, all that part of a tract of Land, whereon he now lives, lying to the Northward and Westward of a cross-fence across his land, lying about S. E. and S. W. will be sold by virtue of a venditiouni exponas, at the suit of Hugh Valiant, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the Lands of Henry H. Edmondson, to wit: a part of a tract of Land, Pilgrimage, supposed to contain 45 acres, more or less; Spriggs Discovery, supposed to be 48 acres, Haywards Lot & John's Choice, 30 acres more or less--Taken by sundry fieri facias, to wit-Wm. Colston and of James Thompson., Henry Keene and of James Thompson, Thomas Buys and Suan Geoghegan, executrix of Wm. Geoghegan and of James Thompson, John Craig and of James Thompson, Elizabeth Edmondson and of James Thompson, Stephen Hurst, executor of Samuel Hurst, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Caleb Lecompte, to wit: a tract or part of a tract of Land, called Willonghby's Purchase, supposed to be 180 acres, more or less--Discovery, supposed to contain 113 acres, more or less; a negro man, Tom; and negroes Charles and Joshua. Taken by virtue of a fieri facias, at the suit of the state of Maryland, and of Henry Keene, administrator of John Bird, at Mr. Flint's, between 9 and 5 o'clock, for cash. ALSO, ON WEDNESDAY the 20th of October next, at Thomas Barnet's, one negro woman, Rose, and boy Daniel, the property of Samuel Helsby. Taken by virute of a fieri facias, at the suit of Geo. W. Scott, administrator with the will annexed of Sarah Helsby: sale betwen 10 and 5 o'clock, for cash. SOLOMON KIRWAN, Sheriff sept 25, 1924"
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,female,9,18240925,public sale,Mr. Flint's,Maryland,,Affey,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Zebulon Mitchell,,"Sheriff's Sales. WILL be sold at public sale on THURSDAY the 21st of October next, at Benjamin Todd's, the property of said Todd, all the Land he owns in Straight's Hundred--Each tract to be sold separately--one negro lad, named Emmory; one do. Named James; one negro boy, Spence; 20 cattle, 11 sheep, 18 hogs and one horse. Taken by virtue of 3 fieri facias, at the suit of Richard Pattison, executor of Sara Moore. Sale between 10 and 4 o'clock, for cas. ALSO, ON MONDAY the 18th day of October next, all the right, title and interest of Zebulon Mitchell, in and to a tract of Land, called Soward's Discovery, supposed to contain 72 acres, more or less, three beds, and furniture, 2 tables, 1 cupboard, 1 desk, 6 chairs, 1 iron pot and oven, 1 yoke of oxen, 1 negro girl, Affey, and a schooner, called the HORNET. Taken by virtue of a fieri facias at the suit of John Hubbard, at Mr. Flint's between 9 and 4 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, all the Lands that Thomas Adams has any right, title or interest in in Dorchester county--Also 2 yoke of oxen, 2 cows and calves, 1 horse, 2 beds and furniture. Taken by virtue of a fieri facias, at the suit of Josiah Hubbell and Jacob Pattison, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Thomas Whitley, all that part of a tract of Land, whereon he now lives, lying to the Northward and Westward of a cross-fence across his land, lying about S. E. and S. W. will be sold by virtue of a venditiouni exponas, at the suit of Hugh Valiant, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the Lands of Henry H. Edmondson, to wit: a part of a tract of Land, Pilgrimage, supposed to contain 45 acres, more or less; Spriggs Discovery, supposed to be 48 acres, Haywards Lot & John's Choice, 30 acres more or less--Taken by sundry fieri facias, to wit-Wm. Colston and of James Thompson., Henry Keene and of James Thompson, Thomas Buys and Suan Geoghegan, executrix of Wm. Geoghegan and of James Thompson, John Craig and of James Thompson, Elizabeth Edmondson and of James Thompson, Stephen Hurst, executor of Samuel Hurst, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Caleb Lecompte, to wit: a tract or part of a tract of Land, called Willonghby's Purchase, supposed to be 180 acres, more or less--Discovery, supposed to contain 113 acres, more or less; a negro man, Tom; and negroes Charles and Joshua. Taken by virtue of a fieri facias, at the suit of the state of Maryland, and of Henry Keene, administrator of John Bird, at Mr. Flint's, between 9 and 5 o'clock, for cash. ALSO, ON WEDNESDAY the 20th of October next, at Thomas Barnet's, one negro woman, Rose, and boy Daniel, the property of Samuel Helsby. Taken by virute of a fieri facias, at the suit of Geo. W. Scott, administrator with the will annexed of Sarah Helsby: sale betwen 10 and 5 o'clock, for cash. SOLOMON KIRWAN, Sheriff sept 25, 1924"
"September 25, 1824",Sheriff's Sales,Sale,adult,adult,Dorchester,male,9,18240925,public sale,Mr. Flint's,Maryland,,Tom,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Caleb Lecompte,,"Sheriff's Sales. WILL be sold at public sale on THURSDAY the 21st of October next, at Benjamin Todd's, the property of said Todd, all the Land he owns in Straight's Hundred--Each tract to be sold separately--one negro lad, named Emmory; one do. Named James; one negro boy, Spence; 20 cattle, 11 sheep, 18 hogs and one horse. Taken by virtue of 3 fieri facias, at the suit of Richard Pattison, executor of Sara Moore. Sale between 10 and 4 o'clock, for cas. ALSO, ON MONDAY the 18th day of October next, all the right, title and interest of Zebulon Mitchell, in and to a tract of Land, called Soward's Discovery, supposed to contain 72 acres, more or less, three beds, and furniture, 2 tables, 1 cupboard, 1 desk, 6 chairs, 1 iron pot and oven, 1 yoke of oxen, 1 negro girl, Affey, and a schooner, called the HORNET. Taken by virtue of a fieri facias at the suit of John Hubbard, at Mr. Flint's between 9 and 4 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, all the Lands that Thomas Adams has any right, title or interest in in Dorchester county--Also 2 yoke of oxen, 2 cows and calves, 1 horse, 2 beds and furniture. Taken by virtue of a fieri facias, at the suit of Josiah Hubbell and Jacob Pattison, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Thomas Whitley, all that part of a tract of Land, whereon he now lives, lying to the Northward and Westward of a cross-fence across his land, lying about S. E. and S. W. will be sold by virtue of a venditiouni exponas, at the suit of Hugh Valiant, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the Lands of Henry H. Edmondson, to wit: a part of a tract of Land, Pilgrimage, supposed to contain 45 acres, more or less; Spriggs Discovery, supposed to be 48 acres, Haywards Lot & John's Choice, 30 acres more or less--Taken by sundry fieri facias, to wit-Wm. Colston and of James Thompson., Henry Keene and of James Thompson, Thomas Buys and Suan Geoghegan, executrix of Wm. Geoghegan and of James Thompson, John Craig and of James Thompson, Elizabeth Edmondson and of James Thompson, Stephen Hurst, executor of Samuel Hurst, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Caleb Lecompte, to wit: a tract or part of a tract of Land, called Willonghby's Purchase, supposed to be 180 acres, more or less--Discovery, supposed to contain 113 acres, more or less; a negro man, Tom; and negroes Charles and Joshua. Taken by virtue of a fieri facias, at the suit of the state of Maryland, and of Henry Keene, administrator of John Bird, at Mr. Flint's, between 9 and 5 o'clock, for cash. ALSO, ON WEDNESDAY the 20th of October next, at Thomas Barnet's, one negro woman, Rose, and boy Daniel, the property of Samuel Helsby. Taken by virute of a fieri facias, at the suit of Geo. W. Scott, administrator with the will annexed of Sarah Helsby: sale betwen 10 and 5 o'clock, for cash. SOLOMON KIRWAN, Sheriff sept 25, 1924"
"September 25, 1824",Sheriff's Sales,Sale,,,Dorchester,male,9,18240925,public sale,Mr. Flint's,Maryland,,Charles,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Caleb Lecompte,,"Sheriff's Sales. WILL be sold at public sale on THURSDAY the 21st of October next, at Benjamin Todd's, the property of said Todd, all the Land he owns in Straight's Hundred--Each tract to be sold separately--one negro lad, named Emmory; one do. Named James; one negro boy, Spence; 20 cattle, 11 sheep, 18 hogs and one horse. Taken by virtue of 3 fieri facias, at the suit of Richard Pattison, executor of Sara Moore. Sale between 10 and 4 o'clock, for cas. ALSO, ON MONDAY the 18th day of October next, all the right, title and interest of Zebulon Mitchell, in and to a tract of Land, called Soward's Discovery, supposed to contain 72 acres, more or less, three beds, and furniture, 2 tables, 1 cupboard, 1 desk, 6 chairs, 1 iron pot and oven, 1 yoke of oxen, 1 negro girl, Affey, and a schooner, called the HORNET. Taken by virtue of a fieri facias at the suit of John Hubbard, at Mr. Flint's between 9 and 4 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, all the Lands that Thomas Adams has any right, title or interest in in Dorchester county--Also 2 yoke of oxen, 2 cows and calves, 1 horse, 2 beds and furniture. Taken by virtue of a fieri facias, at the suit of Josiah Hubbell and Jacob Pattison, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Thomas Whitley, all that part of a tract of Land, whereon he now lives, lying to the Northward and Westward of a cross-fence across his land, lying about S. E. and S. W. will be sold by virtue of a venditiouni exponas, at the suit of Hugh Valiant, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the Lands of Henry H. Edmondson, to wit: a part of a tract of Land, Pilgrimage, supposed to contain 45 acres, more or less; Spriggs Discovery, supposed to be 48 acres, Haywards Lot & John's Choice, 30 acres more or less--Taken by sundry fieri facias, to wit-Wm. Colston and of James Thompson., Henry Keene and of James Thompson, Thomas Buys and Suan Geoghegan, executrix of Wm. Geoghegan and of James Thompson, John Craig and of James Thompson, Elizabeth Edmondson and of James Thompson, Stephen Hurst, executor of Samuel Hurst, at Mr. Flint's between 9 and 5 o'clock, for cash. ALSO, ON MONDAY the 18th of October next, the property of Caleb Lecompte, to wit: a tract or part of a tract of Land, called Willonghby's Purchase, supposed to be 180 acres, more or less--Discovery, supposed to contain 113 acres, more or less; a negro man, Tom; and negroes Charles and Joshua. Taken by virtue of a fieri facias, at the suit of the state of Maryland, and of Henry Keene, administrator of John Bird, at Mr. Flint's, between 9 and 5 o'clock, for cash. ALSO, ON WEDNESDAY the 20th of October next, at Thomas Barnet's, one negro woman, Rose, and boy Daniel, the property of Samuel Helsby. Taken by virute of a fieri facias, at the suit of Geo. W. Scott, administrator with the will annexed of Sarah Helsby: sale betwen 10 and 5 o'clock, for cash. SOLOMON KIRWAN, Sheriff sept 25, 1924"
