_Ad_Date,_Ad_Title,_Ad_Type,_Age_Specified,_CATEGORY_--_Age_Specified,County,_Gender_Specified,_Number_of_People,_Press_Date,_Sale_Disposition,_Sale_Location_Locale,_Sale_Location_State,_Skills_Specified,_First_Name,_Term_of_service,_Trade_reason,_Features,_Terms_of_Sale,Source,Source_Page,Subscriber_County,Subscriber_Firstname,Subscriber_Lastname,_Role,_owner,_Application_Locale
"March 3, 1824",Sheriff's Sale,Sale,25,adult,Dorchester,male,1,18240304,public sale,"William C. Ridgeway's tavern, Cambridge",Maryland,,Samuel,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Henry H. Edmondson,Cambridge
"March 27, 1824",Public Sale,Sale,13,child,Dorchester,male,1,18240327,public sale,,Maryland,housework,,,,,,Cambridge Chronicle,3,DO,Gardner,Bayley,Subscriber,,
"May 22, 1824",For Sale,Sale,20,adult,Dorchester,female,1,18240522,private sale,,Maryland,"cook, servant",,,,,,Cambridge Chronicle,3,,,,,,Cambridge Chronicle Office
"May 22, 1824",Sheriff's Sale,Sale,22,adult,Dorchester,male,1,18240522,public sale,James Woolford Stewart's tavern in Cambridge,Maryland,,Levin,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Deveraux Travers,
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,male,9,18240925,public sale,"residence of Benjamin Todd, Straight's Hundred",Maryland,,Emmory,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Benjamin Todd,
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,male,9,18240925,public sale,"residence of Benjamin Todd, Straight's Hundred",Maryland,,James,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Benjamin Todd,
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,male,9,18240925,public sale,Straight's Hundred,Maryland,,Spencer,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Benjamin Todd,
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,female,9,18240925,public sale,Mr. Flint's,Maryland,,Affey,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Zebulon Mitchell,
"September 25, 1824",Sheriff's Sales,Sale,adult,adult,Dorchester,male,9,18240925,public sale,Mr. Flint's,Maryland,,Tom,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Caleb Lecompte,
"September 25, 1824",Sheriff's Sales,Sale,,,Dorchester,male,9,18240925,public sale,Mr. Flint's,Maryland,,Charles,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Caleb Lecompte,
"September 25, 1824",Sheriff's Sales,Sale,,,Dorchester,male,9,18240925,public sale,Mr. Flint's,Maryland,,Joshua,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Caleb Lecompte,
"September 25, 1824",Sheriff's Sales,Sale,adult,adult,Dorchester,male,9,18240925,public sale,Thomas Barnet's,Maryland,,Rose,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Samuel Helsby,
"September 25, 1824",Sheriff's Sales,Sale,child,child,Dorchester,male,9,18240925,public sale,Thomas Barnet's,Maryland,,Daniel,,to satisfy court judgement,,,Cambridge Chronicle,3,DO,Solomon,Kirwan,Sheriff,Samuel Helsby,
"December 25, 1824",Sheriff's Sale,Sale,,,Dorchester,male,5,18241225,public sale,"residence of Thomas Stanton, North West Fork",Maryland,,Ned,,to satisfy court judgement,,,Cambridge Chronicle,1,DO,Thos. H.,Hicks,Sheriff,Thomas Stanton,
"December 25, 1824",Sheriff's Sale,Sale,,,Dorchester,female,5,18241225,public sale,"residence of Thomas Stanton, North West Fork",Maryland,,Ibba,,to satisfy court judgement,,,Cambridge Chronicle,1,DO,Thos. H.,Hicks,Sheriff,Thomas Stanton,
